fomc,DFFR,rr_original,rr_update
2018-06-13,.25,,.1259655
2018-08-01,0,,-.1114734
2018-09-26,.25,,.0477903
2018-11-08,0,,-.1179903
2018-12-19,.25,,.1849025
2019-01-30,0,,-.045918
2019-03-20,0,,.1059595
2019-05-01,0,,.0255013
2019-06-19,0,,.0326882
2019-07-31,-.25,,-.3156113
2019-09-18,-.25,,-.3038886
2019-10-30,-.25,,-.2807251
2019-12-11,0,,-.0216931
